FeatureID	Taxon	GordaRidge_Vent039_SUPRS1_2019	GordaRidge_Vent040_SUPRS2_2019	GordaRidge_BSW081_sterivex_2019	GordaRidge_BSW056_sterivex_2019_REPb	GordaRidge_Vent088_SUPRS3_2019	GordaRidge_Plume001_sterivex_2019_REPa	GordaRidge_Plume001_sterivex_2019_REPb	GordaRidge_Plume036_sterivex_2019_REPb	GordaRidge_Plume096_sterivex_2019	GordaRidge_Vent105_SUPRS9_2019	GordaRidge_Vent041_SUPRS3_2019	GordaRidge_Vent086_SUPRS1_2019	GordaRidge_Vent107_SUPRS11_2019	GordaRidge_Vent009_SUPRS1_2019	GordaRidge_Vent011_SUPRS3_2019	GordaRidge_Vent106_SUPRS10_2019	GordaRidge_Vent010_SUPRS2_2019	GordaRidge_Vent087_SUPRS2_2019
015abc2784d711e4aa6a89138a90da72	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae	0	9	39	0	13	0	0	0	22	22	0	0	0	0	0	0	17	0
016954bc6ec80e37786000223fac2232	Eukaryota;Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	17	0	5	6	0	8
0190d85cfa345512f54efc78f8b95120	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Leegaardiellidae_B;Leegaardiella;Leegaardiella_sp.;	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
019d8ebed22f77a58027aacb22c0b921	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
01a09bc80b89dca7deee0a168c121f98	Unassigned	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
01a3ec6391c42bfb32ecc13bb87e4dd8	Unassigned	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
01a71ee728b1597b04d339505a58ed04	Eukaryota;Stramenopiles;Pseudofungi;MAST-1;MAST-1C;MAST-1C_X;MAST-1C_XX;MAST-1C_XX_sp.;	18	80	0	38	0	0	0	0	0	0	157	0	0	143	657	0	620	20
01b115b7dafb3871796f97b4b9833676	Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0
01b3bd810347125768771ed064210ce6	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida_D;Strombidiida_D_X;Strombidiida_D_XX;Strombidiida_D_XX_sp.;	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
01c63225d8a3a2f593336d060ceb43cf	Eukaryota;Rhizaria;Radiolaria;Acantharea;Acantharea_3	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01cb7938a885f87b799e92889090a976	Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia_1	8	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
01d1a4a17e3a26ee76b34b62cb0cbef8	Eukaryota;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-Ib;RAD-B_X_Group-Ib_X;RAD-B_X_Group-Ib_X_sp.;	0	23	0	9	0	93	57	62	0	0	25	0	42	0	0	0	27	0
01e63079b26716c691367d4c2c1cb289	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;	0	0	0	0	0	34	11	0	0	0	0	0	0	0	0	0	0	0
01f4bff51785dedec784169f7a705160	Eukaryota;Stramenopiles;Opalozoa;MAST-3;MAST-3C;MAST-3C_X;MAST-3C_XX;MAST-3C_XX_sp.;	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01fba5c52a823e18a05a91601cc960cb	Eukaryota;Stramenopiles;Opalozoa;MAST-3;MAST-3K;MAST-3K_X;MAST-3K_XX;MAST-3K_XX_sp.;	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0201755d3647f7f7a2ef2b1f796ff631	Eukaryota;Rhizaria;Radiolaria;Acantharea;Acantharea_C;Acantharea_C4	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
020295103ca8304135054e04d9110899	Eukaryota;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-Ia;RAD-B_X_Group-Ia_X;RAD-B_X_Group-Ia_X_sp.;	0	26	0	7	46	199	62	12	0	0	14	161	17	0	27	0	14	24
020e6c086b9c28adeea9eafee2f594bd	Eukaryota;Stramenopiles;Opalozoa;Bicoecea;Anoecales;Cafeteriaceae;Cafeteria;Cafeteria_burkhardae;	0	0	9	332	0	7184	4690	0	83	6	0	0	0	0	0	0	0	0
02146407f10b0a647decac7add1b565d	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-5;Dino-Group-I-Clade-5_X;Dino-Group-I-Clade-5_X_sp.;	0	0	0	0	0	19	0	0	0	0	15	0	0	0	0	0	0	0
021fdab9c4d6a45b07b016317242aa73	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0
02318af37b6b13e83e2a33683174ad3c	Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0239f35376fbf9d547a67924cc238a17	Eukaryota;Stramenopiles;Sagenista;MAST-7	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
024afc63f62a1d66ad7e9b133ef840a7	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-16;Dino-Group-II-Clade-16_X;Dino-Group-II-Clade-16_X_sp.;	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
024b723f20421f7515020faa830eb30c	Eukaryota;Rhizaria;Radiolaria;Acantharea	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	9
025ec6ed2e2c1bc09d471946063ff8a1	Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_L;Strombidiidae_L_X;Strombidiidae_L_X_sp.;	0	0	0	46	0	0	0	0	10	0	37	0	0	0	0	0	0	0
02726246125ee9c719efeb4e56bd6ff0	Unassigned	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
0288fb7aae24e85df4100ef2a67d9896	Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis_globosa;	0	18	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
02a83ab74feaa44493fcaa67d9356e1d	Eukaryota;Rhizaria;Radiolaria;Acantharea;Acantharea_1;Acantharea_1_X;Acantharea_1_XX;Acantharea_1_XX_sp.;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135
